Mon,07/11/2016,СН 7 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),АПЖ; 6.10.2016 seq 1 (1:1); seq 2 (3:1); seq 3 (9:1); seq 4 (P)
Tue,08/11/2016,Цигун,Тайцзи
Wed,09/11/2016,СН 7 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),АПЖ; СТС N1 – 1.1 x 3 (1->3->9:1); ПП
Thu,10/11/2016,Цигун,Тайцзи
Fri,11/11/2016,СН 7 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),АПЖ; СТС N1 – 1.2 x 3 (1->3->9:1); ПП
Sat,12/11/2016,Цигун,Нидра
Sun,13/11/2016,Цигун; ИС 1 (1->3->9:1),КСК 10 – Крестец
Mon,14/11/2016,СН 8 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),АПЖ; СТС N1 – 1.3 x 3 (1->3->9:1); ПП
Tue,15/11/2016,Цигун,Тайцзи
Wed,16/11/2016,СН 8 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),АПЖ; СТС N2 – 2.1 x 3 (1->3->9:1); ПП
Thu,17/11/2016,Цигун,Тайцзи
Fri,18/11/2016,СН 8 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),АПЖ; 20.08.2016 full x 3 (1->3->9:1)
Sat,19/11/2016,Цигун,АПЖ; 19.10.2016 full (3:1)
Sun,20/11/2016,Цигун; ИС 2 (1->3->9:1),АПЖ; СТС N2 – 2.2 x 3 (1->3->9:1); ПП
Mon,21/11/2016,СН 9 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),АПЖ; 21.10.2016 seq 1 x 3 (1->3->9:1); seq 2 (Р)
Tue,22/11/2016,Цигун,Тайцзи
Wed,23/11/2016,СН 9 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),АПЖ; СТС N2 – 2.3 x 3 (1->3->9:1); ПП
Thu,24/11/2016,Цигун,Тайцзи
Fri,25/11/2016,СН 9 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),АПЖ; 4.03.16 1-9 (1:1); 10-18(3:1); 19-24 (9:1); 25-36 (P)
Sat,26/11/2016,Цигун,АПЖ; 27.10.16 seq 1: 1-12.2 (3:1); seq 2 1-18 (5:1)
Sun,27/11/2016,Цигун; ИС 3 (1->3->9:1),АПЖ; 6.03.16 1-9 (1:1); 10-18(3:1); 19-24 (9:1); 25-36 (P)
Mon,28/11/2016,СН 10 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),АПЖ; 7.03.16 full x 3 (1->3->9:1); ПП
Tue,29/11/2016,Цигун,Тайцзи
Wed,30/11/2016,СН 10 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),АПЖ; 30.09.16 (доработанный 8.03) (P)
Thu,01/12/2016,Цигун,Тайцзи
Fri,02/12/2016,СН 10 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),АПЖ; 1.11.16 seq 1 1-9 (5:1); seq 2 1-16 (7:1)
Sat,03/12/2016,Цигун,АПЖ; 07.06.16 seq 1 (5:1); seq 2 (7:1)
Sun,04/12/2016,Цигун; ИС 4 (1->3->9:1),АПЖ; 07.07.16 1-9 (1:1); 10-18 (3:1); 19-27 (9:1)
Mon,05/12/2016,СН 3 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),АПЖ; 09.06.16 1-12 (3:1); 13-24 (9:1); 25-26 (P)
Tue,06/12/2016,Цигун,Тайцзи
Wed,07/12/2016,СН 3 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),Атлетический комплекс
Thu,08/12/2016,Цигун,Тайцзи
Fri,09/12/2016,СН 3 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),АПЖ; СТС N3 – 3.1 x 3 (1->3->9:1); ПП
Sat,10/12/2016,Цигун,АПЖ; 17.02.16 (3:1)
Sun,11/12/2016,Цигун; ИС 5 (1->3->9:1),АПЖ; 16.06.16 1-12 (3:1); 13-23 (5:1)
Mon,12/12/2016,СН 4 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),АПЖ; 18.05.16 1-9 ([1]:1); 10-25 ([3]:1)
Tue,13/12/2016,Цигун,Тайцзи
Wed,14/12/2016,СН 4 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),"16.09.2016 1-9 (1:1); 10-25 (3:1, excl. - 10.0-10.2 (1:1)); 26; 27-42 (5:1)"
Thu,15/12/2016,Цигун,Тайцзи
Fri,16/12/2016,СН 4 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),Комплекс по меридианам
Sat,17/12/2016,Цигун,АПЖ; 18.09.16 1-12 (3:1); 13-20 (5:1); 22.0-31 (7:1)
Sun,18/12/2016,Цигун; ИС 6 (1->3->9:1),Дарума Тайсо
Mon,19/12/2016,СН 5 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),АПЖ; СТС N3 – 3.2 x 3 (1->3->9:1); ПП
Tue,20/12/2016,Цигун,Тайцзи
Wed,21/12/2016,СН 5 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),АПЖ; 21.09.16 1-16 (5:1); 17-25 (7:1)
Thu,22/12/2016,Цигун,Тайцзи
Fri,23/12/2016,СН 5 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),АПЖ; СТС N3 – 3.3 x 3 (1->3->9:1); ПП
Sat,24/12/2016,Цигун,АПЖ; 28.07.16 1-9 (1:1); 10-18(3:1); 19-27 (9:1)
Sun,25/12/2016,Цигун; ИС 7 (1->3->9:1),26.09.2016 1-12 (1:1); 13-24 (3:1); 25-36 (5:1); 37-52 (7:1)
Mon,26/12/2016,СН 6 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),АПЖ; 30.06.16 full (Р)
Tue,27/12/2016,Цигун,Тайцзи
Wed,28/12/2016,СН 6 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),АПЖ; 29.09.2016 1-16 (1:1); 17-28 (3:1); 29-37 (9:1)
Thu,29/12/2016,Цигун,Тайцзи
Fri,30/12/2016,СН 6 (3x0.5:0.5 -> 3x1:1 -> 3x3:1),АПЖ; СТС N3 – 3.4 x 3 (1->3->9:1); ПП
Sat,31/12/2016,Цигун; ИС 8 (1->3->9:1),АПЖ; 2.09.2016 1-9 (5:1); 10-22 (7:1)
